date,symbol,action,quantity
2024-10-16,PA=F,sell,68
2024-07-22,SI=F,sell,96
2024-07-17,CL=F,buy,32
2024-09-21,PA=F,buy,40
2024-09-16,PL=F,buy,51
2024-06-11,ALI=F,sell,88
2024-08-02,ALI=F,sell,85
2024-09-14,PL=F,buy,95
2024-08-21,GC=F,sell,59
2024-07-23,SI=F,sell,60
2024-08-13,SI=F,buy,86
2024-07-23,GC=F,buy,42
2024-09-05,CL=F,sell,38
2024-10-18,CL=F,buy,30
2024-09-03,GC=F,buy,97
2024-09-13,HG=F,buy,27
2024-08-31,CL=F,sell,30
2024-09-02,GC=F,buy,27
2024-06-17,SI=F,sell,47
2024-07-15,SI=F,sell,96
2024-06-26,CL=F,sell,60
2024-09-25,HG=F,buy,29
2024-06-18,PL=F,buy,42
2024-09-15,ALI=F,sell,45
2024-06-20,PA=F,buy,45
2024-07-09,SI=F,sell,58
2024-06-29,HG=F,sell,68
2024-06-28,PA=F,buy,66
2024-09-29,ALI=F,sell,19
2024-10-11,HG=F,sell,23
2024-08-27,PA=F,buy,83
2024-09-24,SI=F,sell,23
2024-07-09,PA=F,buy,65
2024-06-07,CL=F,sell,26
2024-06-01,HG=F,buy,47
2024-06-01,PL=F,sell,72
2024-08-21,HG=F,buy,70
2024-07-15,PA=F,buy,73
2024-08-01,SI=F,sell,80
2024-09-29,HG=F,sell,58
2024-09-20,CL=F,buy,40
2024-07-13,PA=F,sell,39
2024-09-30,PA=F,buy,18
2024-06-01,CL=F,sell,88
2024-08-10,GC=F,buy,21
2024-07-29,HG=F,sell,30
2024-06-20,PA=F,sell,96
2024-09-12,PL=F,buy,52
2024-10-15,PA=F,buy,32
2024-07-23,PL=F,sell,10
2024-06-19,PL=F,buy,81
2024-10-16,ALI=F,sell,64
2024-07-08,ALI=F,sell,56
2024-08-14,GC=F,sell,33
2024-08-11,GC=F,sell,41
2024-08-04,PA=F,sell,22
2024-08-03,GC=F,sell,25
2024-06-20,HG=F,sell,73
2024-08-15,HG=F,sell,36
2024-10-08,GC=F,sell,45
2024-09-12,GC=F,buy,20
2024-06-19,GC=F,sell,36
2024-10-09,PL=F,buy,99
2024-09-24,PL=F,sell,57
2024-08-15,ALI=F,buy,14
2024-09-05,GC=F,buy,75
2024-09-08,PL=F,buy,60
2024-09-01,ALI=F,buy,49
2024-06-16,PL=F,buy,61
2024-07-07,CL=F,buy,99
2024-06-28,PA=F,sell,91
2024-08-18,SI=F,sell,35
2024-09-10,ALI=F,sell,72
2024-09-06,GC=F,sell,33
2024-07-21,HG=F,sell,41
2024-10-09,SI=F,sell,38
2024-09-30,HG=F,buy,76
2024-08-10,PA=F,sell,10
2024-06-06,GC=F,sell,19
2024-07-30,GC=F,sell,18
2024-10-18,SI=F,buy,14
2024-07-07,ALI=F,sell,84
2024-08-24,GC=F,buy,77
2024-07-20,PL=F,buy,28
2024-06-19,GC=F,sell,51
2024-08-15,CL=F,sell,42
2024-07-31,PA=F,sell,13
2024-09-06,PA=F,sell,27
2024-06-03,PL=F,buy,29
2024-06-09,PA=F,buy,68
2024-07-30,PL=F,sell,76
2024-06-23,GC=F,buy,43
2024-09-27,PA=F,sell,84
2024-08-09,HG=F,sell,30
2024-07-19,PA=F,buy,70
2024-09-19,SI=F,buy,35
2024-09-06,PL=F,buy,57
2024-07-08,HG=F,sell,64
2024-09-15,HG=F,sell,34
2024-09-25,PL=F,sell,98
2024-08-20,PL=F,sell,76
2024-07-13,SI=F,buy,79
2024-07-22,PA=F,sell,71
2024-06-14,HG=F,sell,96
2024-07-06,ALI=F,sell,85
2024-07-18,PA=F,buy,44
2024-08-05,PL=F,sell,58
2024-07-07,CL=F,sell,45
2024-08-11,PL=F,sell,88
2024-09-07,SI=F,buy,20
2024-08-27,GC=F,buy,100
2024-08-08,CL=F,sell,20
2024-06-14,GC=F,sell,41
2024-06-01,PL=F,buy,30
2024-06-09,PL=F,buy,66
2024-07-31,SI=F,buy,10
2024-08-29,HG=F,sell,55
2024-06-11,SI=F,buy,96
2024-08-28,HG=F,sell,22
2024-09-01,PA=F,buy,74
2024-09-24,PL=F,sell,62
2024-10-10,SI=F,sell,41
2024-08-21,HG=F,sell,29
2024-08-23,PA=F,buy,39
2024-09-13,SI=F,buy,26
2024-07-31,SI=F,sell,97
2024-09-29,PA=F,sell,25
2024-06-22,PL=F,buy,62
2024-07-03,CL=F,sell,10
2024-09-16,GC=F,sell,23
2024-08-11,PA=F,sell,97
2024-09-15,HG=F,sell,43
2024-07-25,HG=F,sell,41
2024-08-16,HG=F,sell,62
2024-06-05,PA=F,buy,30
2024-09-19,PL=F,sell,88
2024-09-03,ALI=F,sell,91
2024-08-08,ALI=F,sell,13
2024-07-11,ALI=F,buy,57
2024-09-18,HG=F,buy,71
2024-07-15,PA=F,sell,49
2024-07-22,HG=F,sell,33
2024-09-28,ALI=F,sell,26
2024-08-15,PA=F,sell,93
2024-08-02,ALI=F,buy,61
2024-10-19,GC=F,sell,93
2024-06-15,PL=F,buy,77
2024-08-18,PL=F,sell,54
2024-09-08,PA=F,buy,88
2024-06-22,CL=F,buy,39
2024-09-04,CL=F,sell,82
2024-09-05,ALI=F,buy,40
2024-07-06,PA=F,buy,20
2024-06-29,SI=F,sell,49
2024-07-01,SI=F,buy,15
2024-10-12,HG=F,buy,59
2024-06-22,PA=F,sell,75
2024-09-12,CL=F,buy,23
2024-09-20,HG=F,buy,24
2024-08-19,GC=F,sell,93
2024-07-14,SI=F,buy,56
2024-07-13,SI=F,sell,38
2024-08-31,HG=F,buy,48
2024-06-15,CL=F,sell,79
2024-09-11,SI=F,buy,31
2024-06-07,PL=F,sell,96
2024-08-11,PL=F,buy,39
2024-06-03,PA=F,sell,73
2024-07-31,CL=F,buy,77
2024-06-15,ALI=F,buy,28
2024-06-01,PL=F,buy,63
2024-07-19,PL=F,sell,83
2024-06-26,PL=F,sell,13
2024-07-23,SI=F,sell,11
2024-07-26,PA=F,sell,94
2024-07-23,PL=F,sell,36
2024-08-10,PA=F,buy,36
2024-07-22,ALI=F,buy,22
2024-06-06,SI=F,buy,83
2024-09-16,SI=F,sell,73
2024-07-12,GC=F,buy,35
2024-08-06,CL=F,buy,39
2024-10-15,SI=F,buy,78
2024-08-18,PA=F,sell,93
2024-07-10,SI=F,buy,38
2024-07-11,PA=F,sell,78
2024-07-30,PA=F,sell,56
2024-06-24,ALI=F,buy,77
2024-06-29,CL=F,buy,63
2024-07-25,CL=F,sell,32
2024-08-07,PL=F,sell,57
2024-07-06,CL=F,buy,76
2024-10-20,CL=F,buy,87
2024-10-02,SI=F,buy,63
2024-06-19,ALI=F,sell,69
2024-06-25,ALI=F,sell,68
2024-07-30,HG=F,sell,53
2024-06-21,SI=F,buy,70
2024-08-10,HG=F,buy,66
2024-09-17,SI=F,buy,81
2024-09-19,HG=F,buy,55
2024-06-16,HG=F,sell,83
2024-06-30,CL=F,buy,62
2024-10-18,SI=F,sell,52
2024-10-10,ALI=F,sell,34
2024-10-01,CL=F,buy,23
2024-07-23,SI=F,buy,62
2024-06-22,HG=F,buy,73
2024-08-19,HG=F,buy,13
2024-10-10,HG=F,sell,75
2024-07-31,PA=F,sell,83
2024-06-26,GC=F,buy,63
2024-09-15,PA=F,buy,50
2024-06-18,CL=F,sell,28
2024-06-29,PL=F,sell,39
2024-10-09,CL=F,buy,66
2024-10-11,PL=F,sell,78
2024-08-11,PL=F,buy,66
2024-06-30,SI=F,sell,30
2024-07-18,PA=F,buy,54
2024-08-23,SI=F,buy,87
2024-06-17,SI=F,buy,56
2024-06-11,PA=F,buy,30
2024-07-25,CL=F,sell,53
2024-08-21,CL=F,buy,54
2024-08-03,GC=F,buy,91
2024-09-19,PL=F,sell,95
2024-08-31,ALI=F,sell,44
2024-08-07,PA=F,buy,13
2024-10-03,SI=F,sell,25
2024-09-21,SI=F,sell,56
2024-10-18,HG=F,sell,49
2024-07-19,PA=F,sell,38
2024-08-23,PL=F,buy,78
2024-06-18,PA=F,sell,94
2024-06-27,HG=F,sell,67
2024-08-02,PL=F,sell,29
2024-10-01,SI=F,buy,70
2024-07-03,PA=F,buy,49
2024-07-19,PL=F,buy,70
2024-10-06,GC=F,buy,100
2024-09-21,PA=F,sell,57
2024-07-07,PL=F,buy,99
2024-08-10,SI=F,buy,83
2024-08-28,GC=F,buy,40
2024-07-15,ALI=F,sell,93
2024-06-20,SI=F,sell,96
2024-08-12,SI=F,buy,94
2024-08-16,SI=F,sell,48
2024-09-30,PA=F,buy,53
2024-10-15,HG=F,sell,20
2024-08-26,SI=F,sell,93
2024-09-17,HG=F,sell,13
2024-10-12,HG=F,sell,49
2024-09-26,SI=F,sell,15
2024-06-30,PL=F,buy,69
2024-07-05,ALI=F,buy,75
2024-10-12,SI=F,buy,51
2024-08-25,GC=F,sell,44
2024-08-14,ALI=F,buy,96
2024-10-13,PA=F,sell,30
2024-09-01,ALI=F,sell,89
2024-08-02,ALI=F,sell,17
2024-06-09,PL=F,sell,91
2024-09-30,PA=F,sell,21
2024-06-20,GC=F,buy,73
2024-07-08,ALI=F,buy,19
2024-06-15,HG=F,buy,55
2024-08-19,CL=F,sell,62
2024-09-06,HG=F,sell,42
2024-06-13,PA=F,sell,66
2024-09-25,PL=F,sell,20
2024-08-24,ALI=F,sell,74
2024-08-28,ALI=F,sell,30
2024-10-05,ALI=F,buy,82
2024-07-09,PL=F,sell,16
2024-09-11,HG=F,sell,54
2024-06-11,PL=F,sell,53
2024-10-17,HG=F,buy,85
2024-09-27,CL=F,sell,98
2024-09-25,HG=F,buy,16
2024-08-05,PA=F,sell,49
2024-07-21,GC=F,sell,70
2024-06-27,SI=F,sell,37
2024-06-17,CL=F,buy,86
2024-07-07,HG=F,buy,66
2024-06-20,PA=F,buy,91
2024-08-03,CL=F,sell,33
2024-10-06,SI=F,buy,66
2024-06-28,HG=F,sell,41
2024-08-13,GC=F,buy,79
2024-07-15,HG=F,buy,22
2024-09-02,GC=F,sell,52
2024-08-23,HG=F,buy,10
2024-08-15,ALI=F,buy,28
2024-06-18,GC=F,sell,75
2024-09-09,SI=F,sell,73
2024-09-08,PL=F,sell,75
2024-08-21,PL=F,sell,68
2024-09-12,ALI=F,sell,23
2024-08-31,CL=F,sell,86
2024-10-19,CL=F,sell,76
2024-06-16,PA=F,buy,38
2024-07-17,PA=F,sell,64
2024-10-17,PL=F,buy,34
2024-08-21,PL=F,sell,51
2024-10-15,GC=F,sell,80
2024-06-27,HG=F,buy,29
2024-09-26,PL=F,sell,98
2024-08-24,HG=F,sell,57
2024-06-01,PL=F,sell,84
2024-10-14,ALI=F,buy,88
2024-08-08,PA=F,sell,97
2024-09-02,PA=F,sell,21
2024-10-12,GC=F,buy,68
2024-07-18,HG=F,buy,21
2024-08-02,ALI=F,buy,40
2024-08-14,PA=F,sell,85
2024-08-15,GC=F,buy,80
2024-07-03,PA=F,buy,54
2024-07-19,ALI=F,buy,63
2024-07-23,SI=F,sell,98
2024-06-09,PL=F,sell,82
2024-06-25,PA=F,buy,16
2024-10-08,SI=F,sell,63
2024-06-01,PA=F,buy,10
2024-09-12,GC=F,buy,41
2024-08-05,PL=F,sell,47
2024-07-10,PL=F,buy,38
2024-06-23,SI=F,sell,94
2024-07-21,PA=F,sell,21
2024-06-25,SI=F,sell,56
2024-09-10,GC=F,sell,71
2024-08-14,PL=F,sell,22
2024-10-09,CL=F,sell,33
2024-07-08,CL=F,sell,99
2024-09-19,SI=F,sell,68
2024-07-28,PL=F,sell,48
2024-07-29,PA=F,buy,24
2024-08-22,CL=F,buy,41
2024-09-16,GC=F,sell,43
2024-07-02,PL=F,buy,49
2024-10-20,HG=F,buy,38
2024-06-01,HG=F,buy,64
2024-06-03,GC=F,buy,55
2024-09-18,PL=F,sell,17
2024-10-17,PL=F,sell,78
2024-10-03,HG=F,buy,47
2024-09-18,CL=F,sell,48
2024-09-04,GC=F,sell,32
2024-08-03,ALI=F,sell,82
2024-06-27,CL=F,sell,27
2024-07-30,PL=F,buy,73
2024-09-24,PL=F,sell,45
2024-07-16,PA=F,buy,28
2024-09-29,GC=F,sell,71
2024-07-19,PL=F,sell,17
2024-07-30,CL=F,buy,100
2024-09-25,CL=F,sell,40
2024-06-19,SI=F,sell,86
2024-06-12,GC=F,buy,20
2024-06-01,PL=F,buy,14
2024-08-02,PA=F,buy,15
2024-10-18,PA=F,sell,49
2024-06-07,HG=F,sell,23
2024-06-30,HG=F,sell,62
2024-06-25,CL=F,buy,18
2024-08-23,HG=F,buy,41
2024-07-26,GC=F,buy,41
2024-09-07,PL=F,buy,33
2024-07-12,PL=F,sell,40
2024-07-11,SI=F,buy,13
2024-10-13,GC=F,sell,52
2024-06-04,PA=F,sell,33
2024-06-28,SI=F,sell,11
2024-07-25,PA=F,sell,63
2024-06-23,GC=F,sell,19
2024-10-09,SI=F,buy,69
2024-07-23,ALI=F,buy,39
2024-08-10,SI=F,buy,65
2024-07-08,PL=F,sell,77
2024-06-07,GC=F,sell,72
2024-06-14,SI=F,buy,98
2024-07-03,SI=F,sell,45
2024-08-05,GC=F,buy,16
2024-06-08,PA=F,buy,73
2024-10-16,CL=F,buy,70
2024-06-16,PA=F,buy,56
2024-09-30,PL=F,sell,58
2024-08-06,ALI=F,sell,51
2024-09-15,ALI=F,sell,58
2024-08-10,SI=F,buy,98
2024-10-07,CL=F,sell,83
2024-06-26,PA=F,buy,87
2024-10-18,ALI=F,sell,69
2024-07-12,SI=F,buy,42
2024-10-12,PL=F,sell,33
2024-06-15,SI=F,buy,88
2024-09-29,GC=F,sell,27
2024-08-10,GC=F,sell,66
2024-10-16,GC=F,sell,74
2024-08-03,HG=F,buy,22
2024-10-01,HG=F,sell,44
2024-07-31,PL=F,sell,37
2024-06-07,GC=F,sell,86
2024-07-09,GC=F,sell,26
2024-10-06,SI=F,buy,49
2024-08-09,PA=F,sell,92
2024-09-17,CL=F,sell,36
2024-06-29,PA=F,buy,23
2024-09-15,PL=F,buy,35
2024-09-17,PL=F,sell,82
2024-07-19,ALI=F,sell,45
2024-08-22,HG=F,sell,28
2024-09-23,HG=F,buy,89
2024-09-02,PL=F,buy,50
2024-08-06,CL=F,sell,66
2024-07-22,ALI=F,buy,91
2024-10-10,ALI=F,buy,85
2024-08-25,HG=F,sell,99
2024-09-15,SI=F,buy,62
2024-08-25,HG=F,sell,16
2024-06-05,PL=F,sell,53
2024-08-15,SI=F,buy,68
2024-08-09,HG=F,sell,16
2024-09-19,PA=F,buy,50
2024-06-01,ALI=F,sell,66
2024-08-10,GC=F,buy,28
2024-07-30,SI=F,sell,41
2024-07-25,ALI=F,sell,58
2024-08-01,HG=F,buy,86
2024-07-18,PL=F,buy,35
2024-06-23,HG=F,sell,60
2024-09-19,HG=F,sell,79
2024-06-22,CL=F,buy,67
2024-10-04,PL=F,sell,37
2024-10-09,GC=F,buy,17
2024-07-26,HG=F,buy,26
2024-07-22,HG=F,buy,61
2024-08-18,ALI=F,sell,94
2024-10-16,SI=F,buy,98
2024-08-06,PA=F,sell,94
2024-09-10,CL=F,sell,52
2024-07-25,ALI=F,sell,71
2024-06-12,ALI=F,sell,51
2024-07-24,SI=F,sell,32
2024-09-13,ALI=F,sell,87
2024-06-19,SI=F,buy,47
2024-09-21,SI=F,sell,44
2024-07-18,SI=F,sell,34
2024-09-16,HG=F,buy,39
2024-07-29,PL=F,buy,43
2024-08-30,PL=F,sell,97
2024-06-22,GC=F,buy,52
2024-06-09,CL=F,buy,56
2024-07-23,PA=F,buy,37
2024-07-30,HG=F,sell,32
2024-08-01,PL=F,sell,61
2024-08-16,ALI=F,buy,69
2024-09-18,PL=F,sell,89
2024-07-13,CL=F,buy,22
2024-10-03,HG=F,sell,17
2024-08-17,PL=F,sell,42
2024-10-05,PL=F,sell,27
2024-10-03,ALI=F,buy,36
2024-08-04,HG=F,sell,91
2024-07-12,SI=F,sell,26
2024-06-30,CL=F,buy,61
2024-06-19,GC=F,buy,80
2024-06-01,HG=F,sell,72
2024-07-10,SI=F,sell,83
2024-10-11,PA=F,sell,62
2024-08-14,CL=F,sell,36
2024-07-24,PA=F,buy,44
2024-08-09,GC=F,buy,89
2024-06-29,GC=F,sell,83
2024-08-30,ALI=F,sell,82
2024-10-19,CL=F,buy,54
2024-06-03,PA=F,buy,74
2024-06-15,GC=F,buy,87
2024-07-30,HG=F,buy,14
